replicate,kmer size,theta,error rate,number of genomes,read count,time,memory,classification recall,classification precision,filter recall,filter precision,avg read count error
1,30,0.6,0.02,100,1000,173825377,27444,1.0,0.9090909090909091,0.492,1.0,25.4
1,30,0.8,0.02,100,1000,141223225,27444,1.0,1.0,0.338,1.0,33.1
1,30,1.0,0.02,100,1000,130295377,27444,1.0,1.0,0.228,1.0,38.6
1,40,0.0,0.02,100,1000,451094339,27444,1.0,0.1,1.0,0.501002004008016,948.0
1,40,0.2,0.02,100,1000,218357477,27444,1.0,0.7692307692307693,0.788,1.0,10.6
1,40,0.4,0.02,100,1000,178125929,27444,1.0,0.9090909090909091,0.578,1.0,21.1
1,40,0.6,0.02,100,1000,163265469,27444,1.0,0.9090909090909091,0.44,1.0,28.0
1,40,0.8,0.02,100,1000,135596947,27444,1.0,1.0,0.316,1.0,34.2
1,40,1.0,0.02,100,1000,115838956,27444,1.0,1.0,0.228,1.0,38.6
1,50,0.0,0.02,100,1000,442934695,27444,1.0,0.1,1.0,0.501002004008016,948.0
1,50,0.2,0.02,100,1000,220871532,27444,1.0,0.9090909090909091,0.63,1.0,18.5
1,50,0.4,0.02,100,1000,165048629,27444,1.0,0.9090909090909091,0.518,1.0,24.1
1,50,0.6,0.02,100,1000,166109528,27444,1.0,1.0,0.406,1.0,29.7
1,50,0.8,0.02,100,1000,142429276,27444,1.0,1.0,0.298,1.0,35.1
1,50,1.0,0.02,100,1000,128702717,27444,1.0,1.0,0.228,1.0,38.6
1,10,0.0,0.04,100,1000,501871168,27444,1.0,0.1,1.0,0.501002004008016,948.0
1,10,0.2,0.04,100,1000,375579350,27444,1.0,0.10101010101010101,1.0,0.501002004008016,170.6
1,10,0.4,0.04,100,1000,301829596,27444,1.0,0.15151515151515152,0.998,0.6260978670012547,40.5
1,10,0.6,0.04,100,1000,287328757,27444,1.0,0.23255813953488372,0.932,0.9301397205588823,5.9
1,10,0.8,0.04,100,1000,210652290,27444,1.0,0.47619047619047616,0.538,0.9962962962962963,23.1
1,10,1.0,0.04,100,1000,124683726,27444,0.8,1.0,0.04,1.0,47.5
1,20,0.0,0.04,100,1000,546875296,27444,1.0,0.1,1.0,0.501002004008016,948.0
1,20,0.2,0.04,100,1000,297795351,27444,1.0,0.47619047619047616,0.928,1.0,3.5
1,20,0.4,0.04,100,1000,277243135,27444,1.0,0.5,0.72,1.0,13.9
1,20,0.6,0.04,100,1000,152135137,27444,1.0,0.5555555555555556,0.402,1.0,29.9
1,20,0.8,0.04,100,1000,212181528,27444,1.0,0.8333333333333334,0.108,1.0,44.6
1,20,1.0,0.04,100,1000,144792598,27444,0.7,1.0,0.036,1.0,47.42857142857143
1,30,0.0,0.04,100,1000,516311514,27444,1.0,0.1,1.0,0.501002004008016,948.0
1,30,0.2,0.04,100,1000,232587927,27444,1.0,0.5,0.72,1.0,13.9
1,30,0.4,0.04,100,1000,224831786,27444,1.0,0.5555555555555556,0.46,1.0,26.9
1,30,0.6,0.04,100,1000,188686519,27444,1.0,0.5882352941176471,0.194,1.0,40.3
1,30,0.8,0.04,100,1000,170401011,27444,1.0,0.8333333333333334,0.09,1.0,45.5
1,30,1.0,0.04,100,1000,115711730,27444,0.7,1.0,0.036,1.0,47.42857142857143
1,40,0.0,0.04,100,1000,586622233,27444,1.0,0.1,1.0,0.501002004008016,948.0
1,40,0.2,0.04,100,1000,264611962,27444,1.0,0.5,0.526,1.0,23.6
1,40,0.4,0.04,100,1000,176859201,27444,1.0,0.5882352941176471,0.278,1.0,36.1
1,40,0.6,0.04,100,1000,203547061,27444,1.0,0.5882352941176471,0.168,1.0,41.6
1,40,0.8,0.04,100,1000,147285963,27444,1.0,0.9090909090909091,0.082,1.0,45.9
1,40,1.0,0.04,100,1000,115290497,27444,0.7,1.0,0.036,1.0,47.42857142857143
1,50,0.0,0.04,100,1000,439121905,27444,1.0,0.1,1.0,0.501002004008016,948.0
1,50,0.2,0.04,100,1000,221415404,27444,1.0,0.5555555555555556,0.346,1.0,32.6
1,50,0.4,0.04,100,1000,181049233,27444,1.0,0.5882352941176471,0.214,1.0,39.3
1,50,0.6,0.04,100,1000,173825153,27444,1.0,0.6666666666666666,0.13,1.0,43.5
1,50,0.8,0.04,100,1000,137065583,27444,1.0,0.9090909090909091,0.072,1.0,46.4
1,50,1.0,0.04,100,1000,121717730,27444,0.7,1.0,0.036,1.0,47.42857142857143
1,10,0.0,0.06,100,1000,536760964,27444,1.0,0.1,1.0,0.501002004008016,948.0
1,10,0.2,0.06,100,1000,363315204,27444,1.0,0.10416666666666667,1.0,0.501002004008016,93.9
1,10,0.4,0.06,100,1000,445030134,27444,1.0,0.14705882352941177,0.972,0.6113207547169811,18.7
1,10,0.6,0.06,100,1000,318078244,27444,1.0,0.20833333333333334,0.734,0.9197994987468672,11.2
1,10,0.8,0.06,100,1000,192067345,27444,1.0,0.5,0.256,1.0,37.2
1,10,1.0,0.06,100,1000,107490671,27444,0.5,1.0,0.012,1.0,48.8
1,20,0.0,0.06,100,1000,526614773,27444,1.0,0.1,1.0,0.501002004008016,948.0
1,20,0.2,0.06,100,1000,292208815,27444,1.0,0.45454545454545453,0.77,0.9974093264248705,9.9
1,20,0.4,0.06,100,1000,254532687,27444,1.0,0.5555555555555556,0.436,1.0,27.5
1,20,0.6,0.06,100,1000,169313084,27444,1.0,0.6666666666666666,0.176,1.0,41.0
1,20,0.8,0.06,100,1000,144798967,27444,0.8,0.8888888888888888,0.038,1.0,47.625
1,20,1.0,0.06,100,1000,96356547,27444,0.5,1.0,0.012,1.0,48.8
1,30,0.0,0.06,100,1000,729913054,27444,1.0,0.1,1.0,0.501002004008016,948.0
1,30,0.2,0.06,100,1000,271484876,27444,1.0,0.5555555555555556,0.466,1.0,25.9
