tool name,genome count in reads,error rate,time,memory,recall,precision,read count error
FastViromeExplorer,55,0.1,830237646,224088,1.0,0.9821428571428571,4.670995031727273
PhageFilter,55,0.1,470279213,27100,0.9454545454545454,0.9454545454545454,4.1923076923076925
Kraken2,55,0.1,54175229,27100,1.0,0.9649122807017544,3.418181818181818
BioBloomTools,55,0.1,545401000,500732,1.0,0.7971014492753623,2.2181818181818183
FastViromeExplorer,66,0.0,815315459,224080,1.0,1.0,0.18115121212121213
PhageFilter,66,0.0,461642465,27100,1.0,0.88,2.227272727272727
Kraken2,66,0.0,52506760,27100,1.0,1.0,0.45454545454545453
BioBloomTools,66,0.0,577479251,500732,1.0,0.9041095890410958,0.3181818181818182
FastViromeExplorer,66,0.02,821477070,224084,1.0,0.9850746268656716,0.30759090909090914
PhageFilter,66,0.02,474666742,27100,1.0,0.8461538461538461,1.1818181818181819
Kraken2,66,0.02,53769613,27100,1.0,1.0,0.5909090909090909
BioBloomTools,66,0.02,567960019,500728,1.0,0.8571428571428571,0.3181818181818182
FastViromeExplorer,66,0.04,807582073,224088,1.0,0.9850746268656716,0.6351110606060606
PhageFilter,66,0.04,483048669,27100,1.0,0.88,1.696969696969697
Kraken2,66,0.04,57071548,27100,1.0,0.9850746268656716,0.9242424242424242
BioBloomTools,66,0.04,557629767,500728,1.0,0.868421052631579,0.6060606060606061
FastViromeExplorer,66,0.06,816015568,224088,1.0,1.0,1.4497930303030304
PhageFilter,66,0.06,513768945,27100,0.9848484848484849,0.9027777777777778,1.8615384615384616
Kraken2,66,0.06,55723727,27104,1.0,1.0,1.0757575757575757
BioBloomTools,66,0.06,551834528,500728,1.0,0.868421052631579,0.8484848484848485
FastViromeExplorer,66,0.08,817955878,224084,1.0,0.9705882352941176,2.477852121212121
PhageFilter,66,0.08,446416283,27104,1.0,0.9295774647887324,2.606060606060606
Kraken2,66,0.08,58791954,27104,1.0,0.9850746268656716,1.8484848484848484
BioBloomTools,66,0.08,545769413,500728,1.0,0.9295774647887324,1.378787878787879
FastViromeExplorer,66,0.1,842303207,224080,0.9545454545454546,1.0,3.4444444444444446
