kmer size, theta, error rate, number of genomes, read count, time, memory, recall, precision, avg read count error
15, 0.5, 0.01, 50, 10000, 33520953169, 740192256, 0.36, 0.6428571428571429, 621.3333333333334
15, 0.5, 0.1, 45, 10000, 29738473106, 740192256, 0.9333333333333333, 0.8076923076923077, 176.23809523809524
15, 0.5, 0.1, 55, 10000, 29428902785, 740192256, 0.6909090909090909, 0.8837209302325582, 136.52631578947367
15, 0.5, 0.05, 30, 10000, 30833559921, 740192256, 0.5102040816326531, 0.6944444444444444, 197.56
15, 0.5, 0.01, 30, 10000, 37010338007, 740192256, 0.37254901960784315, 0.7307692307692307, 1668.5263157894738
15, 0.5, 0.01, 40, 10000, 36963584179, 740192256, 0.325, 0.5909090909090909, 1185.2307692307693
15, 0.5, 0.01, 45, 10000, 35130732911, 740192256, 1.0, 0.7894736842105263, 180.17777777777778
15, 0.5, 0.05, 45, 10000, 31419394395, 740192256, 1.0, 0.8035714285714286, 86.04444444444445
15, 0.5, 0.01, 55, 10000, 32352584728, 740192256, 0.38181818181818183, 0.7, 694.7619047619048
15, 0.5, 0.1, 50, 10000, 30076717660, 740192256, 0.98, 0.8032786885245902, 164.16326530612244
15, 0.5, 0.01, 35, 10000, 31949412425, 740192256, 1.0, 0.6862745098039216, 187.2
15, 0.5, 0.0, 50, 10000, 33136786492, 740192256, 0.4, 0.6060606060606061, 340.2
15, 0.5, 0.05, 35, 10000, 30319248036, 740192256, 1.0, 0.7142857142857143, 99.77142857142857
15, 0.4, 0.05, 50, 10000, 30946329209, 740192256, 0.3, 0.6, 259.6
15, 0.4, 0.0, 45, 10000, 32243910765, 740192256, 0.28888888888888886, 0.5652173913043478, 1030.4615384615386
15, 0.4, 0.0, 55, 10000, 34229623408, 740192256, 0.3090909090909091, 0.68, 1130.0
15, 0.4, 0.01, 50, 10000, 34491499493, 740192256, 0.34, 0.6296296296296297, 757.4117647058823
15, 0.4, 0.1, 45, 10000, 31985466394, 740192256, 0.9333333333333333, 0.7924528301886793, 131.5
15, 0.4, 0.1, 55, 10000, 30502684767, 740192256, 0.6909090909090909, 0.8837209302325582, 93.8157894736842
15, 0.4, 0.05, 30, 10000, 31181397748, 740192256, 0.5102040816326531, 0.6944444444444444, 238.64
15, 0.4, 0.01, 30, 10000, 37633226186, 740192256, 0.37254901960784315, 0.7307692307692307, 1955.2631578947369
15, 0.4, 0.01, 40, 10000, 36478077446, 740192256, 0.3, 0.5714285714285714, 1504.3333333333333
15, 0.4, 0.01, 45, 10000, 37282017332, 740192256, 0.35555555555555557, 0.5714285714285714, 591.375
15, 0.4, 0.05, 45, 10000, 31589533964, 740192256, 1.0, 0.8035714285714286, 82.4888888888889
15, 0.4, 0.01, 55, 10000, 33490148336, 740192256, 0.38181818181818183, 0.7, 799.7142857142857
15, 0.4, 0.1, 50, 10000, 33447457722, 740192256, 0.98, 0.8032786885245902, 128.3469387755102
15, 0.4, 0.01, 35, 10000, 34719647251, 740192256, 1.0, 0.6730769230769231, 216.22857142857143
15, 0.4, 0.0, 50, 10000, 35536355740, 740192256, 0.4, 0.6060606060606061, 374.3
15, 0.4, 0.05, 35, 10000, 32573540995, 740192256, 1.0, 0.6862745098039216, 91.02857142857142
15, 0.1, 0.05, 50, 10000, 33362700974, 740192256, 0.28, 0.5833333333333334, 637.5714285714286
15, 0.1, 0.0, 45, 10000, 34733698861, 740192256, 0.28888888888888886, 0.5652173913043478, 1284.923076923077
15, 0.1, 0.0, 55, 10000, 36541792799, 740192256, 0.3090909090909091, 0.68, 1398.4705882352941
15, 0.1, 0.01, 50, 10000, 36448172187, 740192256, 0.34, 0.6071428571428571, 987.1764705882352
15, 0.1, 0.1, 45, 10000, 33545674036, 740192256, 0.4666666666666667, 0.65625, 253.04761904761904
15, 0.1, 0.1, 55, 10000, 31985435551, 740192256, 0.2727272727272727, 0.75, 577.9333333333333
15, 0.1, 0.05, 30, 10000, 33448859422, 740192256, 0.46938775510204084, 0.6571428571428571, 537.7826086956521
15, 0.1, 0.01, 30, 10000, 39951525787, 740192256, 0.39215686274509803, 0.7407407407407407, 2436.4
15, 0.1, 0.01, 40, 10000, 36907193714, 740192256, 0.3, 0.5714285714285714, 1940.1666666666667
15, 0.1, 0.01, 45, 10000, 33220063583, 740192256, 0.35555555555555557, 0.5714285714285714, 795.625
15, 0.1, 0.05, 45, 10000, 33157118152, 740192256, 0.3333333333333333, 0.5769230769230769, 383.53333333333336
15, 0.1, 0.01, 55, 10000, 34145242861, 740192256, 0.38181818181818183, 0.7, 1031.2380952380952
15, 0.1, 0.1, 50, 10000, 32372346645, 740192256, 0.34, 0.5862068965517241, 250.41176470588235
15, 0.1, 0.01, 35, 10000, 33074972128, 740192256, 0.7142857142857143, 0.6944444444444444, 426.48
15, 0.1, 0.0, 50, 10000, 33464030797, 740192256, 0.42, 0.6176470588235294, 485.42857142857144
15, 0.1, 0.05, 35, 10000, 32407857101, 740192256, 1.0, 0.7446808510638298, 149.2
15, 0.2, 0.05, 50, 10000, 30433846621, 740192256, 0.28, 0.5833333333333334, 539.8571428571429
15, 0.2, 0.0, 45, 10000, 34408683469, 740192256, 0.28888888888888886, 0.5652173913043478, 1195.2307692307693
15, 0.2, 0.0, 55, 10000, 34248171949, 740192256, 0.3090909090909091, 0.68, 1303.8823529411766
15, 0.2, 0.01, 50, 10000, 34403544931, 740192256, 0.34, 0.6071428571428571, 906.4705882352941
15, 0.2, 0.1, 45, 10000, 29999586476, 740192256, 0.9333333333333333, 0.7924528301886793, 102.0
15, 0.2, 0.1, 55, 10000, 31059840953, 740192256, 0.2727272727272727, 0.75, 308.73333333333335
15, 0.2, 0.05, 30, 10000, 31958397003, 740192256, 0.46938775510204084, 0.6571428571428571, 441.8695652173913
15, 0.2, 0.01, 30, 10000, 70957943062, 740192256, 0.37254901960784315, 0.7307692307692307, 2343.3684210526317
15, 0.2, 0.01, 40, 10000, 34207682437, 740192256, 0.3, 0.5714285714285714, 1809.5
15, 0.2, 0.01, 45, 10000, 31721324209, 740192256, 0.26666666666666666, 0.5, 937.1666666666666
15, 0.2, 0.05, 45, 10000, 30825271646, 740192256, 0.3111111111111111, 0.56, 322.42857142857144
15, 0.2, 0.01, 55, 10000, 34355690909, 740192256, 0.38181818181818183, 0.7, 956.8571428571429
15, 0.2, 0.1, 50, 10000, 37974771988, 740192256, 0.62, 0.7209302325581395, 92.6774193548387
15, 0.2, 0.01, 35, 10000, 33196462273, 740192256, 1.0, 0.7, 267.25714285714287
15, 0.2, 0.0, 50, 10000, 32496365519, 740192256, 0.4, 0.6060606060606061, 446.8
15, 0.2, 0.05, 35, 10000, 31209972317, 740192256, 1.0, 0.7, 120.02857142857142
15, 0.0, 0.05, 50, 10000, 43933753663, 740192256, 0.0, 0, nan
15, 0.0, 0.0, 45, 10000, 66906594976, 740192256, 0.0, 0, nan
15, 0.0, 0.0, 55, 10000, 61637938836, 740192256, 0.0, 0, nan
15, 0.0, 0.01, 50, 10000, 58569646732, 740192256, 0.0, 0, nan
