kmer size,theta,error rate,number of genomes,read count,time,memory,classification recall,classification precision,filter recall,filter precision,avg read count error
25,1.0,0.02,33,100000,4256374692,63552,1.0,1.0,0.2181,0.9996333302777524,3909.5
25,0.0,0.04,33,100000,29437123414,61500,1.0,0.30303030303030304,1.0,0.500010000200004,94998.0
25,0.2,0.04,33,100000,5619990574,51988,1.0,0.7142857142857143,0.83734,0.9994509429458105,813.9
25,0.4,0.04,33,100000,5723246733,59200,1.0,0.7692307692307693,0.56396,0.9993620640771194,2180.3
25,0.6,0.04,33,100000,4851700109,49160,1.0,0.8333333333333334,0.31522,0.9996194583624025,3424.1
25,0.8,0.04,33,100000,4442361375,51260,1.0,0.8333333333333334,0.10822,1.0,4458.9
25,1.0,0.04,33,100000,4477321474,52300,1.0,0.8333333333333334,0.04762,0.9991607217792698,4758.6
25,0.0,0.06,33,100000,29634016955,68996,1.0,0.30303030303030304,1.0,0.500010000200004,94998.0
25,0.2,0.06,33,100000,6032472433,51520,1.0,0.8333333333333334,0.63248,0.999336388054985,1719.4
25,0.4,0.06,33,100000,5992368940,52900,1.0,0.8333333333333334,0.32332,0.9995053790033387,3255.8
25,0.6,0.06,33,100000,4852582313,55060,1.0,1.0,0.13178,0.9996965559095736,4341.1
25,0.8,0.06,33,100000,4579158804,56724,1.0,0.9090909090909091,0.0332,0.9993979530403372,4834.1
25,1.0,0.06,33,100000,4037416602,45264,1.0,1.0,0.00892,0.9977628635346756,4955.4
25,0.0,0.08,33,100000,31053173157,64696,1.0,0.30303030303030304,1.0,0.500010000200004,94998.0
25,0.2,0.08,33,100000,6009933395,50228,1.0,0.7142857142857143,0.4394,0.9994540988081158,2803.6
25,0.4,0.08,33,100000,4918426182,49988,1.0,0.7692307692307693,0.16564,0.9995172580255853,4105.6
25,0.6,0.08,33,100000,4500913027,48192,1.0,0.8333333333333334,0.04952,1.0,4752.5
25,0.8,0.08,33,100000,4295352796,49364,1.0,0.7142857142857143,0.0095,1.0,4952.5
25,1.0,0.08,33,100000,3959814375,47716,1.0,1.0,0.00226,1.0,4988.7
25,0.0,0.1,33,100000,27583086918,61756,1.0,0.30303030303030304,1.0,0.500010000200004,94998.0
25,0.2,0.1,33,100000,5680743441,50148,1.0,0.9090909090909091,0.28126,0.9994314547651197,3398.9
25,0.4,0.1,33,100000,4787140907,52604,1.0,0.8333333333333334,0.07826,0.9997445068983137,4591.8
25,0.6,0.1,33,100000,4446720455,49380,1.0,0.9090909090909091,0.01738,0.9988505747126437,4909.9
25,0.8,0.1,33,100000,3940683657,47724,1.0,0.8333333333333334,0.00266,1.0,4986.8
25,1.0,0.1,33,100000,3002602498,44436,0.7,1.0,0.00032,1.0,4997.714285714285
30,0.0,0.0,33,100000,29346526709,67492,1.0,0.30303030303030304,1.0,0.500010000200004,94998.0
30,0.2,0.0,33,100000,6085277040,51528,1.0,0.8333333333333334,1.0,0.9991008092716556,0.3
30,0.4,0.0,33,100000,5606806892,50672,1.0,0.7692307692307693,1.0,0.9995002498750625,0.8
30,0.6,0.0,33,100000,5953063391,53368,1.0,0.8333333333333334,1.0,0.9997000899730081,109.9
30,0.8,0.0,33,100000,6179517911,50540,1.0,0.9090909090909091,1.0,0.9995402115027088,0.6
30,1.0,0.0,33,100000,6024205066,50024,1.0,0.8333333333333334,1.0,0.9996601155607093,22.9
30,0.0,0.02,33,100000,28891172991,66368,1.0,0.30303030303030304,1.0,0.500010000200004,94998.0
30,0.2,0.02,33,100000,6620377058,50788,1.0,0.7692307692307693,0.9248,0.999092519770105,374.6
30,0.4,0.02,33,100000,5625916576,52556,1.0,0.9090909090909091,0.78348,0.9994897178139511,1082.4
30,0.6,0.02,33,100000,5406959150,49976,1.0,0.8333333333333334,0.47724,0.9997067325820101,2583.8
30,0.8,0.02,33,100000,5151112307,51052,1.0,0.8333333333333334,0.33102,0.9998187749184487,3330.9
30,1.0,0.02,33,100000,4896015145,48280,1.0,1.0,0.21992,0.9997272479316301,3900.4
30,0.0,0.04,33,100000,31936646932,69272,1.0,0.30303030303030304,1.0,0.500010000200004,94998.0
30,0.2,0.04,33,100000,5664296603,49052,1.0,0.7142857142857143,0.71842,0.9993045123240416,1408.5
30,0.4,0.04,33,100000,5567740056,49640,1.0,0.7692307692307693,0.46228,0.999654009168757,2646.7
30,0.6,0.04,33,100000,4679164997,47788,1.0,1.0,0.20618,0.999515222028311,3969.1
30,0.8,0.04,33,100000,4456637711,46636,1.0,0.9090909090909091,0.107,0.9994395665981692,4465.2
30,1.0,0.04,33,100000,4852180723,49420,1.0,0.8333333333333334,0.0462,1.0,4766.1
30,0.0,0.06,33,100000,28493719408,65712,1.0,0.30303030303030304,1.0,0.500010000200004,94998.0
30,0.2,0.06,33,100000,5595925770,49088,1.0,0.7692307692307693,0.49222,0.9992285830288267,2513.2
30,0.4,0.06,33,100000,4816744995,48424,1.0,0.8333333333333334,0.23952,0.9991656933088603,3802.7
30,0.6,0.06,33,100000,4784439862,49752,1.0,0.9090909090909091,0.0831,0.9995188838104402,4560.5
30,0.8,0.06,33,100000,4577622273,47120,1.0,0.9090909090909091,0.03142,0.9993638676844784,4842.9
30,1.0,0.06,33,100000,4377162152,54176,1.0,0.9090909090909091,0.00984,0.9979716024340771,4950.7
30,0.0,0.08,33,100000,29625400667,63016,1.0,0.30303030303030304,1.0,0.500010000200004,94998.0
30,0.2,0.08,33,100000,5512778368,48400,1.0,0.8333333333333334,0.30488,0.9992789249426418,3312.2
30,0.4,0.08,33,100000,4804027248,47588,1.0,0.8333333333333334,0.11438,0.9993010658745414,4402.5
30,0.6,0.08,33,100000,4914373289,53152,1.0,0.9090909090909091,0.02942,0.9993206521739131,4843.0
30,0.8,0.08,33,100000,4648444528,54620,1.0,0.9090909090909091,0.00902,1.0,4951.8
30,1.0,0.08,33,100000,4071826290,46672,1.0,1.0,0.00216,1.0,4989.2
30,0.0,0.1,33,100000,29341642433,69144,1.0,0.30303030303030304,1.0,0.500010000200004,94998.0
30,0.2,0.1,33,100000,5846113581,51660,1.0,0.9090909090909091,0.18026,0.9994455533377689,3977.2
30,0.4,0.1,33,100000,5427675563,51588,1.0,1.0,0.05082,0.9996066089693155,4694.4
30,0.6,0.1,33,100000,4758764473,49900,1.0,0.9090909090909091,0.01052,1.0,4946.5
30,0.8,0.1,33,100000,4583595818,58048,1.0,0.7692307692307693,0.0026,1.0,4986.9
30,1.0,0.1,33,100000,3590180063,46740,1.0,0.9090909090909091,0.00054,1.0,4997.3
35,0.0,0.0,33,100000,29246916078,63628,1.0,0.30303030303030304,1.0,0.500010000200004,94998.0
35,0.2,0.0,33,100000,6840529786,48508,1.0,0.8333333333333334,1.0,0.9989411224102451,416.3
35,0.4,0.0,33,100000,6236703397,50192,1.0,0.8333333333333334,1.0,0.9992206079258179,229.0
35,0.6,0.0,33,100000,6027173152,49428,1.0,1.0,1.0,0.9994602914426209,0.0
35,0.8,0.0,33,100000,5669050644,50584,1.0,0.9090909090909091,1.0,0.9997600575861794,0.2
35,1.0,0.0,33,100000,5643922932,51300,1.0,1.0,1.0,0.9996201443451489,0.0
35,0.0,0.02,33,100000,29031154121,61448,1.0,0.30303030303030304,1.0,0.500010000200004,94998.0
35,0.2,0.02,33,100000,6224877385,51184,1.0,0.8333333333333334,0.86558,0.9992611576735703,622.7
35,0.4,0.02,33,100000,5757374223,50364,1.0,0.8333333333333334,0.71744,0.9993314018275017,1254.3
35,0.6,0.02,33,100000,5396558313,51912,1.0,0.8333333333333334,0.45762,0.999475822303761,2701.5
35,0.8,0.02,33,100000,5249183747,50416,1.0,0.9090909090909091,0.32,0.9996251405722854,3396.5
35,1.0,0.02,33,100000,4851378677,47984,1.0,0.9090909090909091,0.21796,0.9997247958902853,3910.2
35,0.0,0.04,33,100000,27985107377,68056,1.0,0.30303030303030304,1.0,0.500010000200004,94998.0
35,0.2,0.04,33,100000,5761173991,49544,1.0,0.7692307692307693,0.61364,0.9992834809796769,1897.2
35,0.4,0.04,33,100000,5162195484,50892,1.0,0.7692307692307693,0.38814,0.999690928759079,3002.4
35,0.6,0.04,33,100000,5100700796,50220,1.0,0.9090909090909091,0.18688,0.9996790414036589,3953.0
35,0.8,0.04,33,100000,4577212902,49732,1.0,0.9090909090909091,0.1009,1.0,4495.6
